Protein	Protein	Input
QPRT	ADAMTSL4	1
RAB2B	ADAMTSL4	1
RHOJ	ADAMTSL4	1
RUNX1T1	ADAMTSL4	1
SLC13A5	ADAMTSL4	1
SORBS3	ADAMTSL4	1
SPINK2	ADAMTSL4	1
SPRY2	ADAMTSL4	1
STK16	ADAMTSL4	1
SUSD6	ADAMTSL4	1
TAPBPL	ADAMTSL4	1
TFAP2D	ADAMTSL4	1
TGFB1	ADAMTSL4	1
TOP3B	ADAMTSL4	1
TRIP6	ADAMTSL4	1
TUBGCP4	ADAMTSL4	1
USP21	ADAMTSL4	1
ZFHX2	ADAMTSL4	1
ZNF330	ADAMTSL4	1
ZNF414	ADAMTSL4	1
ADAMTSL4	ADAMTSL5	1
FHL5	ADAMTSL5	1
PRNP	ADAP2	1
ADAR	ADAR	1
UPF1	ADAR	1
ADARB1	ADARB1	1
EHHADH	ADARB1	1
EIF2AK2	ADARB1	1
NKRF	ADARB1	1
PNPT1	ADARB1	1
PRKRA	ADARB1	1
STAU1	ADARB1	1
STOX1	ADARB1	1
STRBP	ADARB1	1
TARBP2	ADARB1	1
TCEANC	ADARB1	1
UBE2I	ADARB1	1
ZMAT4	ADARB1	1
ZNF346	ADARB1	1
NAV2	ADAT2	1
SMARCD1	ADAT2	1
CDA	ADAT3	1
FBLIM1	ADAT3	1
SORBS3	ADAT3	1
TTC23	ADCY4	1
HSPB1	ADCY9	1
CLU	ADCYAP1	1
HSPB1	ADD3	1
DLG1	ADGRA3	1
BAIAP2	ADGRB1	1
BAIAP3	ADGRB1	1
MAGI1	ADGRB1	1
AQP6	ADGRE2	1
BIK	ADGRE2	1
ELOVL4	ADGRE2	1
FAM209A	ADGRE2	1
SAR1A	ADGRE2	1
SLC7A14	ADGRE2	1
MEOX2	ADGRF4	1
NFYC	ADGRF5	1
ADRB2	ADGRG1	1
ATP6V0B	ADGRG3	1
C3orf52	ADGRG3	1
C4orf3	ADGRG3	1
PLP1	ADGRG3	1
RPRM	ADGRG3	1
SEC22A	ADGRG3	1
TEX264	ADGRG3	1
UPK2	ADGRG3	1
SORT1	ADGRG7	1
VAPA	ADGRG7	1
USH1C	ADGRV1	1
TRIM69	ADH4	1
ADH5	ADH5	1
APPL1	ADI1	1
AQP6	ADIPOQ	1
ASGR2	ADIPOQ	1
BCL2L13	ADIPOQ	1
BIK	ADIPOQ	1
BSND	ADIPOQ	1
BTNL9	ADIPOQ	1
C17orf62	ADIPOQ	1
CAMLG	ADIPOQ	1
CCDC107	ADIPOQ	1
CCDC155	ADIPOQ	1
CD200R1	ADIPOQ	1
CD79A	ADIPOQ	1
CLEC10A	ADIPOQ	1
CLEC2D	ADIPOQ	1
COQ9	ADIPOQ	1
CPLX4	ADIPOQ	1
CREB3L1	ADIPOQ	1
ERP29	ADIPOQ	1
FAM209A	ADIPOQ	1
FASN	ADIPOQ	1
FCGR1A	ADIPOQ	1
FKBP7	ADIPOQ	1
FNDC9	ADIPOQ	1
GPR152	ADIPOQ	1
GPR42	ADIPOQ	1
IFNGR2	ADIPOQ	1
KCNK5	ADIPOQ	1
MFF	ADIPOQ	1
MFSD14B	ADIPOQ	1
MFSD6	ADIPOQ	1
MS4A3	ADIPOQ	1
NEMP1	ADIPOQ	1
PEX12	ADIPOQ	1
PROKR2	ADIPOQ	1
PVR	ADIPOQ	1
SCN3B	ADIPOQ	1
SGTA	ADIPOQ	1
SLC16A2	ADIPOQ	1
SLC22A23	ADIPOQ	1
SLC35C2	ADIPOQ	1
SLC35E3	ADIPOQ	1
SYAP1	ADIPOQ	1
TMEM237	ADIPOQ	1
TMEM35A	ADIPOQ	1
TNFSF14	ADIPOQ	1
TRIM35	ADIPOQ	1
APPL1	ADIPOR1	1
TBXA2R	ADIPOR1	1
CAP2	ADO	1
DISC1	ADO	1
ADORA2A	ADORA1	1
ADORA2A	ADORA2A	1
BET1	ADORA2A	1
CYTH2	ADORA2A	1
NECAB2	ADORA2A	1
SYNGR1	ADORA2A	1
TFCP2	ADPRH	1
HSPB1	ADPRHL2	1
AP2M1	ADRA1B	1
CCDC24	ADRA2C	1
CHCHD2	ADRA2C	1
KLHL38	ADRA2C	1
KRT34	ADRA2C	1
MDFI	ADRA2C	1
MEIS2	ADRA2C	1
MGAT5B	ADRA2C	1
MKRN3	ADRA2C	1
P4HA3	ADRA2C	1
ADCY3	ADRB2	1
ADRB2	ADRB2	1
ALDOA	ADRB2	1
ARHGAP5	ADRB2	1
ARHGDIA	ADRB2	1
ARRB2	ADRB2	1
ARRDC3	ADRB2	1
CD4	ADRB2	1
CD68	ADRB2	1
CD81	ADRB2	1
CD9	ADRB2	1
CEACAM1	ADRB2	1
GNAS	ADRB2	1
GNAT2	ADRB2	1
GNB1	ADRB2	1
GPRC5B	ADRB2	1
IL6R	ADRB2	1
MAPK8IP2	ADRB2	1
MCAM	ADRB2	1
OPRD1	ADRB2	1
PLA2G2D	ADRB2	1
RAN	ADRB2	1
RGS10	ADRB2	1
RGS11	ADRB2	1
