Protein	Protein	Input
MISP	SF3A2	1
NCK2	SF3A2	1
SF3A1	SF3A2	1
YY1	SF3A2	1
CCDC85B	SF3A3	1
FN1	SF3A3	1
HSPB1	SF3A3	1
SF3A1	SF3A3	1
ZNF212	SF3A3	1
FN1	SF3B1	1
SF3B6	SF3B1	1
KDM1A	SF3B2	1
RBM7	SF3B2	1
XAB2	SF3B2	1
NUDCD3	SF3B3	1
AES	SF3B4	1
BCAS2	SF3B4	1
EFTUD2	SF3B4	1
FKBP1A	SF3B4	1
FRK	SF3B4	1
HNRNPUL1	SF3B4	1
MAPK9	SF3B4	1
NCK2	SF3B4	1
NUB1	SF3B4	1
PPP1R16B	SF3B4	1
RBM39	SF3B4	1
SF3B2	SF3B4	1
TFG	SF3B4	1
TRAF4	SF3B4	1
WDR83	SF3B4	1
STAMBPL1	SF3B5	1
TRAPPC6A	SF3B5	1
CETN2	SFI1	1
MAD2L2	SFI1	1
ACP1	SFMBT1	1
CLNK	SFMBT1	1
FAM214B	SFMBT1	1
PHC1	SFMBT1	1
PHC2	SFMBT1	1
SCMH1	SFMBT1	1
ZCCHC10	SFMBT1	1
LYPLA1	SFMBT2	1
PHC1	SFMBT2	1
SCMH1	SFMBT2	1
SCML1	SFMBT2	1
SCML2	SFMBT2	1
SIAH1	SFMBT2	1
SLF2	SFMBT2	1
TFAP4	SFMBT2	1
UBE2O	SFMBT2	1
BAD	SFN	1
CCDC102B	SFN	1
CCNH	SFN	1
CHST1	SFN	1
EGFR	SFN	1
EIF2S1	SFN	1
EIF4B	SFN	1
EXO1	SFN	1
FAM189A2	SFN	1
FAM53C	SFN	1
HDAC4	SFN	1
HDAC5	SFN	1
LONRF1	SFN	1
MARK3	SFN	1
PLK4	SFN	1
RAB3IP	SFN	1
RAF1	SFN	1
REPS2	SFN	1
SFN	SFN	1
TP53	SFN	1
WDYHV1	SFN	1
ZC2HC1C	SFN	1
CEP70	SFR1	1
HMBOX1	SFR1	1
NDC80	SFR1	1
NMI	SFR1	1
RINT1	SFR1	1
RNF40	SFR1	1
TFIP11	SFR1	1
AQP6	SFRP4	1
AQP6	SFT2D1	1
ARFIP1	SFT2D1	1
C12orf10	SFT2D1	1
CERCAM	SFT2D1	1
DERL2	SFT2D1	1
DIABLO	SFT2D1	1
EHHADH	SFT2D1	1
MIEF2	SFT2D1	1
MST1	SFT2D1	1
NDRG4	SFT2D1	1
OTULIN	SFT2D1	1
PLEKHB2	SFT2D1	1
PNKP	SFT2D1	1
REEP4	SFT2D1	1
RETREG3	SFT2D1	1
SCAND1	SFT2D1	1
SCN3B	SFT2D1	1
SDCBP	SFT2D1	1
SLC10A1	SFT2D1	1
SLC30A8	SFT2D1	1
SNX1	SFT2D1	1
SPG21	SFT2D1	1
STOM	SFT2D1	1
SYT16	SFT2D1	1
TARS2	SFT2D1	1
TBRG4	SFT2D1	1
TMEM14B	SFT2D1	1
TMEM255B	SFT2D1	1
TMEM86B	SFT2D1	1
AQP6	SFT2D2	1
ATP5PF	SFT2D2	1
BNIP2	SFT2D2	1
CREB3	SFT2D2	1
ELOVL4	SFT2D2	1
GPR152	SFT2D2	1
HIBADH	SFT2D2	1
HSD17B11	SFT2D2	1
HSD17B13	SFT2D2	1
IFNGR2	SFT2D2	1
INPP5K	SFT2D2	1
MOB2	SFT2D2	1
NDRG4	SFT2D2	1
PBX3	SFT2D2	1
PLIN2	SFT2D2	1
PLIN3	SFT2D2	1
REEP2	SFT2D2	1
REEP4	SFT2D2	1
SLC10A1	SFT2D2	1
SLC10A6	SFT2D2	1
SLC30A8	SFT2D2	1
STOM	SFT2D2	1
TAS2R5	SFT2D2	1
TIMM44	SFT2D2	1
TMEM143	SFT2D2	1
TMEM14B	SFT2D2	1
TMEM51	SFT2D2	1
NCS1	SFTPA2	1
MEOX2	SFTPB	1
BSCL2	SFTPC	1
CD200R1	SFTPC	1
CD79A	SFTPC	1
CPLX4	SFTPC	1
CXCL9	SFTPC	1
FAM209A	SFTPC	1
GJA8	SFTPC	1
GOLM1	SFTPC	1
GPX8	SFTPC	1
HPN	SFTPC	1
ICAM3	SFTPC	1
IFNGR2	SFTPC	1
KLRC1	SFTPC	1
PDZK1IP1	SFTPC	1
PVR	SFTPC	1
SEC22A	SFTPC	1
SEC61G	SFTPC	1
SFTPC	SFTPC	1
SIGLEC9	SFTPC	1
TMEM106C	SFTPC	1
TMEM79	SFTPC	1
AQP6	SFXN1	1
CIDEB	SFXN1	1
FCER1G	SFXN1	1
MMD	SFXN1	1
PGRMC2	SFXN1	1
SLC10A1	SFXN1	1
SLC10A6	SFXN1	1
SLC16A7	SFXN1	1
STOM	SFXN1	1
TMEM14B	SFXN1	1
TMEM56	SFXN1	1
AQP6	SFXN2	1
TMEM14B	SFXN2	1
AQP6	SFXN3	1
CREB3	SFXN3	1
LEPROTL1	SFXN3	1
ZDHHC15	SFXN3	1
APOL2	SFXN5	1
AQP6	SFXN5	1
ERGIC3	SFXN5	1
SGTA	SGCA	1
ADAM33	SGCB	1
APOL3	SGCB	1
EHHADH	SGCB	1
MGST2	SGCB	1
NINJ1	SGCB	1
PMP22	SGCB	1
SLC52A1	SGCB	1
FLNC	SGCD	1
SGCB	SGCZ	1
BECN1	SGF29	1
CCDC102B	SGF29	1
CCDC158	SGF29	1
CLHC1	SGF29	1
DBF4B	SGF29	1
KNSTRN	SGF29	1
KRT13	SGF29	1
KRT15	SGF29	1
KRT19	SGF29	1
KRT24	SGF29	1
KRT27	SGF29	1
KRT33B	SGF29	1
LNX1	SGF29	1
LZTS1	SGF29	1
MED11	SGF29	1
MED4	SGF29	1
MYF5	SGF29	1
NDC80	SGF29	1
PROSER3	SGF29	1
RINT1	SGF29	1
SYNPO	SGF29	1
TADA3	SGF29	1
TEX12	SGF29	1
TFIP11	SGF29	1
EPS15	SGIP1	1
NDRG4	SGK1	1
TSC2	SGK1	1
GSK3B	SGK3	1
ITCH	SGK3	1
SUOX	SGK494	1
TLX3	SGK494	1
VAC14	SGK494	1
VENTX	SGK494	1
CTSA	SGMS2	1
VAMP1	SGMS2	1
ZFPL1	SGMS2	1
SET	SGO2	1
AQP3	SGPL1	1
AQP9	SGPL1	1
BCL2L2	SGPL1	1
CLDN19	SGPL1	1
ERG28	SGPL1	1
FA2H	SGPL1	1
FAM177A1	SGPL1	1
FXYD3	SGPL1	1
HMOX2	SGPL1	1
IFITM3	SGPL1	1
MFSD6	SGPL1	1
MIP	SGPL1	1
MMD2	SGPL1	1
PAQR5	SGPL1	1
PLP2	SGPL1	1
SLC30A3	SGPL1	1
STATH	SGPL1	1
STX4	SGPL1	1
TMEM176A	SGPL1	1
TMEM97	SGPL1	1
UNC50	SGPL1	1
CETN2	SGSM1	1
CETN3	SGSM1	1
FMO3	SGSM3	1
CD79B	SGTA	1
CD99L2	SGTA	1
CREB3L3	SGTA	1
DKK3	SGTA	1
ERP29	SGTA	1
FKBP7	SGTA	1
GAL	SGTA	1
GRN	SGTA	1
HSP90AA1	SGTA	1
MYDGF	SGTA	1
MYOC	SGTA	1
NME3	SGTA	1
RCN1	SGTA	1
SGTA	SGTA	1
TFRC	SGTA	1
TMEM230	SGTA	1
TMEM98	SGTA	1
UBL4A	SGTA	1
UPK3A	SGTA	1
ABCG4	SGTB	1
ADAT2	SGTB	1
ADIPOQ	SGTB	1
AGR2	SGTB	1
AGR3	SGTB	1
BTC	SGTB	1
C1QA	SGTB	1
C1QL4	SGTB	1
C1QTNF6	SGTB	1
C5orf46	SGTB	1
CALR	SGTB	1
CD200R1	SGTB	1
CD3D	SGTB	1
CD68	SGTB	1
CD79B	SGTB	1
CD99L2	SGTB	1
CDH15	SGTB	1
CMPK1	SGTB	1
COL10A1	SGTB	1
COL1A2	SGTB	1
COMP	SGTB	1
CREB3L3	SGTB	1
CSH1	SGTB	1
CTAG1B	SGTB	1
CYB5R1	SGTB	1
DEFA6	SGTB	1
DEXI	SGTB	1
DMKN	SGTB	1
ECM1	SGTB	1
EFEMP2	SGTB	1
EMCN	SGTB	1
ERP29	SGTB	1
ETNK1	SGTB	1
EVA1A	SGTB	1
FBN1	SGTB	1
FGF21	SGTB	1
FZD7	SGTB	1
GALNT11	SGTB	1
GGH	SGTB	1
GIP	SGTB	1
GPX7	SGTB	1
GYPA	SGTB	1
HSP90B1	SGTB	1
HSPA13	SGTB	1
IL6R	SGTB	1
IL6ST	SGTB	1
ITPRIP	SGTB	1
KCNE5	SGTB	1
KRT1	SGTB	1
LCN2	SGTB	1
LHB	SGTB	1
LMO2	SGTB	1
MYDGF	SGTB	1
NME3	SGTB	1
OSMR	SGTB	1
PDIA6	SGTB	1
PGRMC1	SGTB	1
PODXL	SGTB	1
PPIB	SGTB	1
PPIC	SGTB	1
PRAP1	SGTB	1
PRR4	SGTB	1
RAI2	SGTB	1
RCN1	SGTB	1
RNASE10	SGTB	1
RNF144A	SGTB	1
RNF144B	SGTB	1
RNF170	SGTB	1
SDC4	SGTB	1
SDF2L1	SGTB	1
SERPINE1	SGTB	1
SERPINF1	SGTB	1
SERPINI2	SGTB	1
SGCA	SGTB	1
SGTA	SGTB	1
SHISA5	SGTB	1
SIL1	SGTB	1
SLPI	SGTB	1
SOD3	SGTB	1
SPINK4	SGTB	1
SPP1	SGTB	1
SRGN	SGTB	1
SYT11	SGTB	1
SYT4	SGTB	1
TFF1	SGTB	1
TMEM108	SGTB	1
TMEM123	SGTB	1
TMUB1	SGTB	1
TNFRSF19	SGTB	1
TNFSF13	SGTB	1
TXNDC12	SGTB	1
UBL4A	SGTB	1
UPK3A	SGTB	1
VEGFC	SGTB	1
VWC2	SGTB	1
WFDC12	SGTB	1
ZG16	SGTB	1
ZG16B	SGTB	1
CSAD	SH2B1	1
EGFR	SH2B1	1
GRB2	SH2B1	1
INSR	SH2B1	1
JAK2	SH2B1	1
AES	SH2B2	1
ASB6	SH2B2	1
CLK1	SH2B2	1
DUSP13	SH2B2	1
FAM124B	SH2B2	1
HCK	SH2B2	1
IL36RN	SH2B2	1
LMO3	SH2B2	1
PLEKHA3	SH2B2	1
RAB6B	SH2B2	1
TLNRD1	SH2B2	1
USP2	SH2B2	1
ZNF414	SH2B2	1
ARHGEF6	SH2D1A	1
ARHGEF7	SH2D1A	1
ATF3	SH2D1A	1
CD84	SH2D1A	1
DDIT4L	SH2D1A	1
FYB1	SH2D1A	1
LCK	SH2D1A	1
LHX3	SH2D1A	1
LHX4	SH2D1A	1
LY9	SH2D1A	1
NCK1	SH2D1A	1
PTK2	SH2D1A	1
SLAMF1	SH2D1A	1
TNK2	SH2D1A	1
ZNHIT1	SH2D1A	1
AGR2	SH2D1B	1
BLK	SH2D1B	1
DDIT4L	SH2D1B	1
MAGEB4	SH2D1B	1
MEOX2	SH2D1B	1
NFKBID	SH2D1B	1
NUTM1	SH2D1B	1
OLIG1	SH2D1B	1
SLAMF1	SH2D1B	1
STAT4	SH2D1B	1
TCF12	SH2D1B	1
TNK2	SH2D1B	1
TRIM54	SH2D1B	1
LASP1	SH2D2A	1
PLEKHB1	SH2D2A	1
ALAS1	SH2D4A	1
CEP76	SH2D4A	1
GRAMD4	SH2D4A	1
GRAP2	SH2D4A	1
HOOK2	SH2D4A	1
NECAB2	SH2D4A	1
NINL	SH2D4A	1
PICK1	SH2D4A	1
SPAG5	SH2D4A	1
TFIP11	SH2D4A	1
TTC19	SH2D4A	1
YPEL3	SH2D4A	1
ZMYND12	SH2D4A	1
ARHGAP10	SH3BP2	1
CTTN	SH3BP2	1
PLEKHA1	SH3BP4	1
TFRC	SH3BP4	1
BTK	SH3BP5	1
IFT20	SH3BP5	1
MAPK8	SH3BP5	1
CEP57	SH3BP5L	1
EMC2	SH3BP5L	1
FAM161B	SH3BP5L	1
NINL	SH3BP5L	1
RAB14	SH3BP5L	1
RAB25	SH3BP5L	1
SUOX	SH3BP5L	1
SH3YL1	SH3D19	1
DNM1	SH3GL1	1
DPPA4	SH3GL1	1
GPKOW	SH3GL1	1
NUTM2F	SH3GL1	1
PSMB1	SH3GL1	1
SH2D4A	SH3GL1	1
SH3GL1	SH3GL1	1
SH3GL2	SH3GL1	1
SH3GL3	SH3GL1	1
SPG21	SH3GL1	1
DNM1	SH3GL2	1
DNM2	SH3GL2	1
EMD	SH3GL2	1
ITCH	SH3GL2	1
PTPN23	SH3GL2	1
SH3GL2	SH3GL2	1
GOLT1B	SH3GL3	1
RABAC1	SH3GL3	1
RNF8	SH3GL3	1
SH3GL2	SH3GL3	1
SH3GL3	SH3GL3	1
ABHD5	SH3GLB1	1
BAX	SH3GLB1	1
FAM114A2	SH3GLB1	1
FUNDC1	SH3GLB1	1
SH3GLB1	SH3GLB1	1
SNX1	SH3GLB1	1
TPD52	SH3GLB1	1
LGALS14	SH3GLB2	1
PICK1	SH3GLB2	1
SH3GLB1	SH3GLB2	1
SH3KBP1	SH3GLB2	1
TBC1D7	SH3GLB2	1
ANKS1A	SH3KBP1	1
BLNK	SH3KBP1	1
CBL	SH3KBP1	1
CBLB	SH3KBP1	1
CD2	SH3KBP1	1
DENND2A	SH3KBP1	1
HIVEP1	SH3KBP1	1
LZTS2	SH3KBP1	1
PIK3R1	SH3KBP1	1
PSMA3	SH3KBP1	1
SH3BP2	SH3KBP1	1
SH3GL1	SH3KBP1	1
SH3GL2	SH3KBP1	1
SH3GL3	SH3KBP1	1
SH3KBP1	SH3KBP1	1
SPRY2	SH3KBP1	1
STAP1	SH3KBP1	1
TP53BP2	SH3KBP1	1
ZFP36	SH3KBP1	1
ACAP1	SH3RF1	1
AKT2	SH3RF1	1
ATN1	SH3RF1	1
CBLB	SH3RF1	1
CCDC6	SH3RF1	1
DLGAP4	SH3RF1	1
DMRTB1	SH3RF1	1
DNM2	SH3RF1	1
EAF1	SH3RF1	1
FAT1	SH3RF1	1
FGD1	SH3RF1	1
FHL2	SH3RF1	1
HERPUD1	SH3RF1	1
LCP2	SH3RF1	1
NAF1	SH3RF1	1
NUTM2F	SH3RF1	1
PRAM1	SH3RF1	1
PXN	SH3RF1	1
RAC1	SH3RF1	1
RUNX1T1	SH3RF1	1
SF3A2	SH3RF1	1
SH2D4A	SH3RF1	1
SH3BP2	SH3RF1	1
SH3D19	SH3RF1	1
SUFU	SH3RF1	1
TP53BP2	SH3RF1	1
UBE2K	SH3RF1	1
WASL	SH3RF1	1
WIPF1	SH3RF1	1
AKAP8L	SH3RF2	1
AMOTL2	SH3RF2	1
CCDC102B	SH3RF2	1
EFS	SH3RF2	1
LZTS2	SH3RF2	1
MTUS2	SH3RF2	1
NEK6	SH3RF2	1
ARHGEF7	SHANK1	1
SHANK1	SHANK1	1
CTTN	SHANK2	1
HOMER1	SHANK2	1
PLCG1	SHANK2	1
PPP3CA	SHANK2	1
RIPOR3	SHANK2	1
ITGA2	SHARPIN	1
ITGA5	SHARPIN	1
ITGAL	SHARPIN	1
ITGB2	SHARPIN	1
RNF31	SHARPIN	1
SHANK1	SHARPIN	1
TRIP13	SHARPIN	1
USP54	SHARPIN	1
ZBTB32	SHARPIN	1
CALCOCO2	SHC1	1
CSF3R	SHC1	1
EGFR	SHC1	1
ERBB2	SHC1	1
ERBB3	SHC1	1
GAB1	SHC1	1
IGF1R	SHC1	1
MET	SHC1	1
PIK3R1	SHC1	1
PTPN12	SHC1	1
STAT5A	SHC1	1
FLT1	SHC2	1
KDR	SHC2	1
ANKRD10	SHC3	1
BMF	SHC3	1
CCNC	SHC3	1
CEACAM6	SHC3	1
DOK3	SHC3	1
EGFR	SHC3	1
FTO	SHC3	1
KRT31	SHC3	1
KRT33B	SHC3	1
KRT34	SHC3	1
NTRK2	SHC3	1
PPP1R16B	SHC3	1
PSMD8	SHC3	1
STX11	SHC3	1
TRAF1	SHC3	1
TRAF2	SHC3	1
TRIM35	SHC3	1
TRIM54	SHC3	1
UBAP2	SHC3	1
USHBP1	SHC3	1
YPEL3	SHC3	1
YPEL5	SHC3	1
ZMYND12	SHC3	1
EGFR	SHC4	1
SHC1	SHCBP1	1
ZUFSP	SHCBP1	1
ZNF835	SHCBP1L	1
ABL1	SHD	1
NCK2	SHD	1
DOK3	SHE	1
TRIT1	SHE	1
CHN2	SHF	1
HHIP	SHH	1
CLDN11	SHISA3	1
CMTM7	SHISA3	1
MAL	SHISA3	1
MEOX2	SHISA3	1
PNMA1	SHISA3	1
TMEM147	SHISA3	1
C17orf62	SHISA4	1
CNIH1	SHISA4	1
DESI1	SHISA4	1
MAL	SHISA4	1
SGTA	SHISA4	1
TSPAN33	SHISA4	1
UPK1B	SHISA4	1
DESI1	SHISA5	1
SGTA	SHISA5	1
AES	SHISA6	1
ANKS1A	SHISA6	1
ARMC7	SHISA6	1
BAG3	SHISA6	1
CARD9	SHISA6	1
CCDC57	SHISA6	1
CDKN1A	SHISA6	1
CIAO1	SHISA6	1
CTBP2	SHISA6	1
EXOSC5	SHISA6	1
FBLIM1	SHISA6	1
GOLGA2	SHISA6	1
HSF2BP	SHISA6	1
KAT5	SHISA6	1
KIF9	SHISA6	1
KIFC3	SHISA6	1
KRT31	SHISA6	1
LMO3	SHISA6	1
NEDD4	SHISA6	1
OIP5	SHISA6	1
PFDN5	SHISA6	1
SMARCD1	SHISA6	1
TRIP6	SHISA6	1
TSSK3	SHISA6	1
TTC19	SHISA6	1
UBASH3A	SHISA6	1
GYPC	SHISAL1	1
PMP22	SHISAL1	1
SLC38A7	SHISAL1	1
SLC39A7	SHISAL1	1
SLC41A2	SHISAL1	1
SLC52A1	SHISAL1	1
TMEM128	SHISAL1	1
GOLT1B	SHISAL2A	1
YIPF2	SHISAL2A	1
CUL3	SHKBP1	1
LXN	SHKBP1	1
PRPF3	SHKBP1	1
SH3KBP1	SHKBP1	1
SHKBP1	SHKBP1	1
DDX6	SHMT1	1
GORASP2	SHMT1	1
MAPK9	SHMT1	1
MDFI	SHMT1	1
SHMT1	SHMT1	1
ARL6IP1	SHMT2	1
CAB39	SHMT2	1
CMTM5	SHMT2	1
CREB3	SHMT2	1
MAL2	SHMT2	1
HUWE1	SHOC2	1
PSMC5	SHOC2	1
GLIS2	SHOX	1
HEMK1	SHOX	1
IGBP1	SHOX	1
NKX2-5	SHOX	1
SOX5	SHOX	1
SOX6	SHOX	1
GMCL1	SHQ1	1
BBOX1	SHTN1	1
EXOC6B	SHTN1	1
FABP3	SHTN1	1
NME7	SHTN1	1
SHTN1	SHTN1	1
TFCP2	SHTN1	1
TNIP1	SHTN1	1
TP53BP2	SHTN1	1
ZCCHC17	SHTN1	1
AASDHPPT	SIAH1	1
AFF1	SIAH1	1
AFF4	SIAH1	1
APC	SIAH1	1
ARMC9	SIAH1	1
ATN1	SIAH1	1
ATXN7	SIAH1	1
AXIN1	SIAH1	1
BAG1	SIAH1	1
BAG3	SIAH1	1
BAG4	SIAH1	1
BCL6	SIAH1	1
CACYBP	SIAH1	1
CAPG	SIAH1	1
CCDC198	SIAH1	1
CDC23	SIAH1	1
CDC34	SIAH1	1
CDK5R1	SIAH1	1
DAB1	SIAH1	1
DDX41	SIAH1	1
DNAJC15	SIAH1	1
DNALI1	SIAH1	1
EEF1D	SIAH1	1
FAM90A1	SIAH1	1
FLI1	SIAH1	1
FZD9	SIAH1	1
GDPD5	SIAH1	1
GRM5	SIAH1	1
HIPK2	SIAH1	1
HIST1H4H	SIAH1	1
INHA	SIAH1	1
KATNAL1	SIAH1	1
KCNJ10	SIAH1	1
KHDRBS3	SIAH1	1
KIAA0319L	SIAH1	1
KIAA1217	SIAH1	1
KIF1B	SIAH1	1
KIFC3	SIAH1	1
KLF10	SIAH1	1
LACTB2	SIAH1	1
LANCL2	SIAH1	1
M1AP	SIAH1	1
MAB21L1	SIAH1	1
MAPK12	SIAH1	1
MAPKBP1	SIAH1	1
MAPRE3	SIAH1	1
MOB3C	SIAH1	1
MTIF3	SIAH1	1
MX1	SIAH1	1
MYD88	SIAH1	1
NECTIN2	SIAH1	1
NELFA	SIAH1	1
NOL6	SIAH1	1
OPRM1	SIAH1	1
OTUB2	SIAH1	1
PFKM	SIAH1	1
PHC1	SIAH1	1
PHC2	SIAH1	1
PIAS1	SIAH1	1
PIMREG	SIAH1	1
PKD1	SIAH1	1
POU2AF1	SIAH1	1
PRPF31	SIAH1	1
PTPMT1	SIAH1	1
PUF60	SIAH1	1
PYGB	SIAH1	1
RAB33A	SIAH1	1
RAB33B	SIAH1	1
RAD51AP1	SIAH1	1
RAD54L2	SIAH1	1
RBBP8	SIAH1	1
RPS19BP1	SIAH1	1
SDCBP	SIAH1	1
SIAH1	SIAH1	1
SIAH2	SIAH1	1
SLC9A3R2	SIAH1	1
SPATA4	SIAH1	1
SPATC1L	SIAH1	1
STAT3	SIAH1	1
SYT7	SIAH1	1
TBC1D22B	SIAH1	1
TMEM43	SIAH1	1
TNK2	SIAH1	1
TOLLIP	SIAH1	1
TP53BP2	SIAH1	1
TRIB3	SIAH1	1
TRIM23	SIAH1	1
TRIM7	SIAH1	1
UBE2D1	SIAH1	1
UBE2D2	SIAH1	1
UBE2D3	SIAH1	1
UBE2I	SIAH1	1
UBE2K	SIAH1	1
UPP2	SIAH1	1
USP19	SIAH1	1
UXT	SIAH1	1
WDYHV1	SIAH1	1
ZBP1	SIAH1	1
ZCCHC10	SIAH1	1
ZCCHC13	SIAH1	1
ZFYVE21	SIAH1	1
ZMAT3	SIAH1	1
ZNF148	SIAH1	1
ZNF671	SIAH1	1
AFF1	SIAH2	1
OPRM1	SIAH2	1
PIAS1	SIAH2	1
PPP1R12A	SIAH2	1
SH3RF1	SIAH2	1
TINF2	SIAH2	1
TPX2	SIAH2	1
UBE2I	SIAH2	1
USP19	SIAH2	1
VAV1	SIAH2	1
XAF1	SIAH2	1
KRTAP6-2	SIAH3	1
ACSF2	SIGLEC12	1
ADIPOQ	SIGLEC12	1
ATP5PF	SIGLEC12	1
CDIPT	SIGLEC12	1
CLEC4G	SIGLEC12	1
CTSA	SIGLEC12	1
DNAJC30	SIGLEC12	1
IL1RL1	SIGLEC12	1
MGST1	SIGLEC12	1
PLPP6	SIGLEC12	1
PLPPR2	SIGLEC12	1
PTCH1	SIGLEC12	1
TMPRSS4	SIGLEC12	1
YIPF1	SIGLEC12	1
SLC7A8	SIGLEC5	1
TRIP13	SIGLEC5	1
VAC14	SIGLEC5	1
PAX6	SIGLEC6	1
NCS1	SIGLEC9	1
C3orf52	SIGLECL1	1
EMP3	SIGLECL1	1
GINS4	SIK1B	1
LHX8	SIK1B	1
MESD	SIK1B	1
PITX1	SIK1B	1
PRTFDC1	SIK1B	1
TIMM10	SIK1B	1
GABARAPL2	SIK2	1
TRAF1	SIK3	1
TRIP6	SIK3	1
CENPQ	SIKE1	1
HSPA5	SIL1	1
ARNT	SIM2	1
DNAJB11	SIMC1	1
BCL6	SIN3A	1
BNIP2	SIN3A	1
COPS2	SIN3A	1
FAM96A	SIN3A	1
HBP1	SIN3A	1
MBD2	SIN3A	1
MBD4	SIN3A	1
MNT	SIN3A	1
MXD1	SIN3A	1
NDRG4	SIN3A	1
OGT	SIN3A	1
PBX3	SIN3A	1
PHF12	SIN3A	1
SAP30	SIN3A	1
SH3GLB1	SIN3A	1
SUDS3	SIN3A	1
SYT1	SIN3A	1
ZBTB16	SIN3A	1
SUDS3	SIN3B	1
ZBTB16	SIN3B	1
CEP76	SINHCAF	1
GTPBP3	SINHCAF	1
NMI	SINHCAF	1
CDKN1A	SIPA1	1
FN1	SIPA1	1
CEBPE	SIPA1L1	1
DDX6	SIPA1L2	1
CCDC57	SIRPA	1
DYNLT1	SIRPA	1
HSF2BP	SIRPA	1
KRT15	SIRPA	1
KRT31	SIRPA	1
KRT34	SIRPA	1
NOL3	SIRPA	1
PTPN6	SIRPA	1
TRIM2	SIRPA	1
TRIM23	SIRPA	1
RBFOX1	SIRPB1	1
PEX5	SIRT3	1
VIM	SIRT6	1
APOL2	SIT1	1
ITM2A	SIT1	1
UPK1B	SIT1	1
C2orf68	SIVA1	1
CATSPER1	SIVA1	1
CD27	SIVA1	1
CD4	SIVA1	1
CREB5	SIVA1	1
FOXP3	SIVA1	1
HOXA1	SIVA1	1
ING3	SIVA1	1
MEFV	SIVA1	1
PCNA	SIVA1	1
PM20D2	SIVA1	1
STMN1	SIVA1	1
TCAP	SIVA1	1
TFAP2D	SIVA1	1
TYK2	SIVA1	1
WDYHV1	SIVA1	1
XIAP	SIVA1	1
ZNF446	SIVA1	1
AES	SIX1	1
EYA1	SIX1	1
EYA2	SIX1	1
MDFI	SIX1	1
POU6F2	SIX1	1
AES	SIX2	1
CLIP4	SIX2	1
TLE3	SIX2	1
AES	SIX3	1
NR4A3	SIX3	1
ATXN1	SIX5	1
AES	SIX6	1
BLOC1S6	SKA1	1
PSMC5	SKA1	1
SNAPIN	SKA1	1
DSN1	SKA2	1
IFT57	SKA2	1
RALY	SKA2	1
SKA1	SKA2	1
NOL4	SKA3	1
SKA1	SKA3	1
FYB1	SKAP1	1
PRAM1	SKAP1	1
PTPRC	SKAP1	1
SH2D4A	SKAP1	1
GLI2	SKI	1
GLI3	SKI	1
SMAD4	SKI	1
SNW1	SKI	1
AES	SKIL	1
OIP5	SKIL	1
SMUG1	SKIL	1
STK16	SKIL	1
CACNB3	SKIV2L	1
PRKAA2	SKIV2L	1
CDCA3	SKP1	1
CDKN1B	SKP1	1
CUL1	SKP1	1
FBXL15	SKP1	1
FBXL20	SKP1	1
FBXL3	SKP1	1
FBXO3	SKP1	1
FBXO5	SKP1	1
FBXO7	SKP1	1
FBXO9	SKP1	1
FBXW11	SKP1	1
FBXW7	SKP1	1
KCTD9	SKP1	1
MEOX2	SKP1	1
CDK2	SKP2	1
CDKN1A	SKP2	1
CDKN1B	SKP2	1
CUL1	SKP2	1
HSP90AA1	SKP2	1
MYC	SKP2	1
SKP1	SKP2	1
SKP2	SKP2	1
SLC9A3R1	SKP2	1
ABI2	SLA	1
BLK	SLA	1
EGFR	SLA	1
EPHA2	SLA	1
PTK6	SLA	1
ARHGEF5	SLAIN1	1
ARMC7	SLAIN1	1
C1orf109	SLAIN1	1
COX5B	SLAIN1	1
CRACR2A	SLAIN1	1
DDX6	SLAIN1	1
EFHC1	SLAIN1	1
EXOSC8	SLAIN1	1
FAM214B	SLAIN1	1
FHL2	SLAIN1	1
FRS3	SLAIN1	1
GOLGA1	SLAIN1	1
HOMER3	SLAIN1	1
HOXC8	SLAIN1	1
KCTD9	SLAIN1	1
KIF9	SLAIN1	1
LMO3	SLAIN1	1
PATZ1	SLAIN1	1
PFDN5	SLAIN1	1
PRPF31	SLAIN1	1
PSMA3	SLAIN1	1
RFPL3	SLAIN1	1
TBC1D22B	SLAIN1	1
TFAP2D	SLAIN1	1
ZNF76	SLAIN1	1
SLAMF1	SLAMF1	1
RABAC1	SLAMF6	1
TMBIM6	SLAMF6	1
SLAMF7	SLAMF7	1
EMP3	SLAMF8	1
CYB5R3	SLC10A1	1
FDFT1	SLC10A1	1
FXYD3	SLC10A1	1
GDE1	SLC10A1	1
SLC35E4	SLC10A1	1
STX7	SLC10A1	1
TFRC	SLC10A1	1
VAMP3	SLC10A1	1
C3orf52	SLC10A2	1
UPK1B	SLC10A2	1
ATP13A1	SLC10A6	1
BTN2A2	SLC10A6	1
C16orf58	SLC10A6	1
CDIPT	SLC10A6	1
CNIH1	SLC10A6	1
COMT	SLC10A6	1
CYB5B	SLC10A6	1
CYB5R3	SLC10A6	1
DERL1	SLC10A6	1
EMC6	SLC10A6	1
ERG28	SLC10A6	1
FA2H	SLC10A6	1
FKBP8	SLC10A6	1
FMO1	SLC10A6	1
FXYD3	SLC10A6	1
FXYD6	SLC10A6	1
GJB6	SLC10A6	1
GOLT1B	SLC10A6	1
GOSR2	SLC10A6	1
GYPC	SLC10A6	1
HTATIP2	SLC10A6	1
